Model,Horizon,Threshold,TSS,POD,FAR,CSI,Accuracy,TP,FN,FP,TN
PINN_46k,6h,0.17416829745596868,0.833248673523273,0.9714285714285714,0.9584859584859585,0.041463414634146344,0.8624912526242128,34,1,785,4896
PINN_46k,12h,0.19422778487205505,0.8312352663837812,0.9666666666666667,0.9296116504854369,0.07021791767554479,0.8656403079076277,58,2,766,4890
PINN_46k,24h,0.22805780172348022,0.8117216117216117,0.945054945054945,0.8971291866028708,0.10225921521997622,0.8679146256123164,86,5,750,4875
