Model,Horizon,Threshold,TSS,POD,FAR,CSI,Accuracy,TP,FN,FP,TN
CNN_Baseline,6h,0.18199608610567514,0.8256795835743204,0.06480238851592413,0.9714285714285714,0.9605568445475638,0.039397450753186555,0.8549685094471658,34,1,828,4853
CNN_Baseline,12h,0.2054794520547945,0.8255775577557756,0.10916055993840758,0.9666666666666667,0.9322429906542056,0.0675990675990676,0.8600419874037789,58,2,798,4858
CNN_Baseline,24h,0.21249820291996002,0.7823550671550672,0.12498353705769268,0.9560439560439561,0.918233082706767,0.08146067415730338,0.8283764870538838,87,4,977,4648
